path,slug,titulo,lines,exercicios,exemplos,portas,with_fonte,with_solucao,with_opcoes,passos,pct_passos,aplicacao,compreensao,modelagem,desafio,demonstracao,has_audio,has_fontes_section,books_header,n_flags,flags
content/aulas/ano-3/trim-10/licao-92-edo-separavel.mdx,"""licao-92-edo-separavel""","""Lição 92 — EDOs separáveis""",1217,45,5,7,45,45,45,2,0.04,31,6,4,3,1,True,True,3,1,FEW-PASSOS(2/~11)
content/aulas/ano-3/trim-10/licao-93-edo-linear-1.mdx,"""licao-93-edo-linear-1""","""Lição 93 — EDOs lineares de 1ª ordem""",1149,45,5,7,45,45,45,8,0.18,21,5,12,5,2,True,True,2,0,
content/aulas/ano-3/trim-10/licao-94-edo-populacional.mdx,"""licao-94-edo-populacional""","""Lição 94 — Modelos populacionais: Malthus e Verhulst""",1127,45,5,7,45,45,45,3,0.07,15,7,15,6,2,True,False,2,2,FEW-PASSOS(3/~11)|NO-FONTES-SECTION
content/aulas/ano-3/trim-10/licao-95-edo-2-ordem.mdx,"""licao-95-edo-2-ordem""","""Lição 95 — EDOs lineares de 2ª ordem com coeficientes constantes""",1143,45,5,7,45,45,45,4,0.09,27,5,7,4,2,True,True,2,1,FEW-PASSOS(4/~11)
content/aulas/ano-3/trim-10/licao-96-vibracoes.mdx,"""licao-96-vibracoes""","""Lição 96 — Vibrações mecânicas: massa-mola-amortecedor""",1165,45,5,7,45,45,45,3,0.07,18,4,14,6,3,True,True,2,1,FEW-PASSOS(3/~11)
content/aulas/ano-3/trim-10/licao-97-rlc.mdx,"""licao-97-rlc""","""Lição 97 — Circuitos RLC""",1097,45,5,7,45,45,45,2,0.04,19,7,11,6,2,True,True,2,1,FEW-PASSOS(2/~11)
content/aulas/ano-3/trim-10/licao-98-euler-numerico.mdx,"""licao-98-euler-numerico""","""Lição 98 — Método de Euler (numérico)""",1123,45,5,7,45,45,45,1,0.02,21,6,12,5,1,True,True,3,1,FEW-PASSOS(1/~11)
content/aulas/ano-3/trim-10/licao-99-newton-resfriamento.mdx,"""licao-99-newton-resfriamento""","""Lição 99 — Lei de Newton do Resfriamento""",1031,45,5,7,45,45,45,1,0.02,20,5,14,4,2,True,True,2,1,FEW-PASSOS(1/~11)
content/aulas/ano-3/trim-10/licao-100-consolidacao-trim-10.mdx,"""licao-100-consolidacao-trim-10""","""Lição 100 — Consolidação Trimestre 10 (EDOs)""",1145,45,5,7,45,45,45,2,0.04,19,7,12,5,2,True,True,3,1,FEW-PASSOS(2/~11)
content/aulas/ano-3/trim-11/licao-101-amostragem.mdx,"""licao-101-amostragem""","""Lição 101 — Amostragem: tipos, vieses e distribuição amostral""",980,42,5,7,42,42,7,6,0.14,27,6,6,2,1,True,True,3,1,MISSING-OPCOES(7/42)
content/aulas/ano-3/trim-11/licao-102-ic-media.mdx,"""licao-102-ic-media""","""Lição 102 — Intervalo de confiança para a média""",908,42,5,7,42,42,4,7,0.17,26,4,7,3,2,True,True,3,1,MISSING-OPCOES(4/42)
content/aulas/ano-3/trim-11/licao-103-teste-hipotese.mdx,"""licao-103-teste-hipotese""","""Lição 103 — Teste de hipótese: estrutura e lógica""",893,42,5,7,42,42,5,6,0.14,26,5,6,3,2,True,True,3,1,MISSING-OPCOES(5/42)
content/aulas/ano-3/trim-11/licao-104-teste-z-t.mdx,"""licao-104-teste-z-t""","""Lição 104 — Teste z e teste t de Student""",1022,43,5,7,43,43,10,9,0.21,24,6,7,3,3,True,True,3,1,MISSING-OPCOES(10/43)
content/aulas/ano-3/trim-11/licao-105-regressao-simples.mdx,"""licao-105-regressao-simples""","""Lição 105 — Regressão linear simples""",958,44,5,7,44,44,10,8,0.18,22,7,7,5,3,True,True,3,1,MISSING-OPCOES(10/44)
content/aulas/ano-3/trim-11/licao-106-regressao-multipla.mdx,"""licao-106-regressao-multipla""","""Lição 106 — Regressão múltipla""",960,42,5,7,42,42,13,9,0.21,18,7,8,6,3,True,True,3,1,MISSING-OPCOES(13/42)
content/aulas/ano-3/trim-11/licao-107-anova.mdx,"""licao-107-anova""","""Lição 107 — ANOVA one-way""",940,42,5,7,42,42,2,6,0.14,17,10,5,6,4,True,True,3,1,MISSING-OPCOES(2/42)
content/aulas/ano-3/trim-11/licao-108-qui-quadrado.mdx,"""licao-108-qui-quadrado""","""Lição 108 — Teste qui-quadrado: aderência e independência""",927,42,5,7,42,42,3,7,0.17,23,8,7,2,2,True,True,3,1,MISSING-OPCOES(3/42)
content/aulas/ano-3/trim-11/licao-109-bayesiana-intro.mdx,"""licao-109-bayesiana-intro""","""Lição 109 — Estatística bayesiana introdutória""",929,40,5,7,40,40,9,6,0.15,29,3,5,1,2,True,True,3,1,MISSING-OPCOES(9/40)
